python3 srcs/run_cli.py
> List of all isomorphic sets : 
   id  mult_bound      nb_molecules
  649  False                      2
  650  False                      1
  651  False                      2
  652  False                      2
  653  False                      6
  654  False                      4
  655  False                     15
  656  False                      1
  657  False                      2
  658  False                      3
  659  False                     21
  660  False                      2
  661  False                      3
  662  False                      1
  663  False                      4
  664  False                      2
  665  False                      2
  666  False                     16
  667  False                      2
  668  False                      5
  669  False                      6
  670  False                      2
  671  False                      1
  672  False                      1
  673  False                      2
  674  False                      6
  675  False                      3
  676  False                      1
  677  False                      5
  678  False                      2
  679  False                      3
  680  False                      1
  681  False                      2
  682  False                      1
  683  False                      2
  684  False                      4
  685  False                      2
  686  False                      1
  687  False                      1
  688  False                      1
  689  False                      6
  690  False                      7
  691  False                      1
  692  False                      2
  693  False                      5
  694  False                      5
  695  False                     10
  696  False                     11
  697  False                      1
  698  False                      2
  699  False                      2
  700  False                      4
  701  False                      2
  702  False                      3
  703  False                      1
  704  False                     31
  705  False                      2
  706  False                      2
  707  False                      1
  708  False                      2
  709  False                     43
  710  False                      4
  711  False                      2
  712  False                      6
  713  False                      2
  714  False                      8
  715  False                      7
  716  False                      8
  717  False                      6
  718  False                      4
  719  False                      2
  720  False                      2
  721  False                      1
  722  False                      1
  723  False                      2
  724  False                      1
  725  False                      1
  726  False                      1
  727  False                      2
  728  False                      3
  729  False                      2
  730  False                      4
  731  False                      1
  732  False                     10
  733  False                      2
  734  False                      2
  735  False                      2
  736  False                      1
  737  False                      5
  738  False                      2
  739  False                      2
  740  False                      3
  741  False                     21
  742  False                      2
  743  False                      4
  744  False                     11
  745  False                      2
  746  False                      2
  747  False                      1
  748  False                     15
  749  False                      2
  750  False                      2
  751  False                      3
  752  False                      3
  753  False                      2
  754  False                      5
  755  False                      1
  756  False                      1
  757  False                      4
  758  False                     11
  759  False                      2
  760  False                      8
  761  False                      3
  762  False                      1
  763  False                      2
  764  False                      4
  765  False                      4
  766  False                      4
  767  False                      2
  768  False                      2
  769  False                      1
  770  False                      1
  771  False                      6
